"","X","Y","Tree_loss","Pop_densit","Dist_sett","Slope","Elevation","Annual_Rai","Dist_track","Dist_road","Dist_river","Dist_edge","Dist_defor","treated"
"181",895905,7961865,0,0.175337448716,4123.22705078,29.7723083496,602,2028,999.049560547,15274.9794922,1231.46252441,577,692.603759766,1
"182",896055,7961865,0,0.1610327214,4113.93994141,20.6626434326,656,2028,1116.0645752,15252.4257813,1381.30371094,711,836.779541016,1
"183",896205,7961865,0,0.134590804577,4110.109375,19.1807689667,696,1901,1230.36584473,15231.3164063,1531.17602539,847,982.700378418,1
"184",896355,7961865,0,0.130849123001,4111.75146484,23.1813335419,764,1901,1321.36291504,15211.65625,1681.07104492,987,1129.69018555,1
"185",896505,7961865,0,0.126090720296,4118.85888672,2.13429999352,802,1901,1421.44287109,15193.4521484,1830.98339844,1129,1277.38012695,1
"186",896655,7961865,0,0.123878620565,4131.40429688,14.4268436432,804,1901,1527.35070801,15176.7089844,1980.90893555,1273,1371.1673584,1
"187",896805,7961865,0,0.121289744973,4149.33740234,10.4776821136,812,1901,1633.55444336,15161.4316406,2130.8449707,1357,1405.20458984,1
"188",896955,7961865,0,0.118968211114,4172.58935547,13.9044561386,837,1901,1739.48266602,15147.6240234,2280.78930664,1410,1453.99450684,1
"189",897105,7961865,0,0.117204740644,4201.07128906,9.33362960815,866,1844,1845.6706543,15135.2900391,2430.74072266,1423,1422.70874023,1
"190",897255,7961865,0,0.112474814057,4175.28417969,8.79241371155,871,1844,1955.76074219,15119.6728516,2580.69750977,1288,1288.25463867,1
"191",897405,7961865,0,0.110294163227,4080.99243164,10.0522298813,895,1844,2070.86938477,15084.0644531,2730.65917969,1158,1157.62683105,1
"192",897555,7961865,0,0.105047017336,3990.11279297,13.4215087891,927,1844,2190.20556641,15049.8671875,2880.625,1032,1032.27905273,1
"193",897705,7961865,0,0.103860497475,3902.88354492,21.229259491,970,1844,2313.11474609,15017.0898438,3030.59399414,914,914.385009766,1
"194",897855,7961865,0,0.10758908093,3819.55493164,11.3147134781,991,1844,2439.05712891,14985.7431641,3180.56591797,807,807.217468262,1
"195",898005,7961865,0,0.107623927295,3740.38769531,25.3769340515,937,1844,2567.58642578,14955.8349609,3330.54052734,716,715.611633301,1
"196",898155,7961865,0,0.106147915125,3665.65136719,19.2316970825,861,1883,2698.33276367,14927.3740234,3480.51708984,644,644.127319336,1
"197",898305,7961865,0,0.108285672963,3595.62231445,25.6350765228,866,1883,2830.98925781,14900.3691406,3630.49584961,589,589.406494141,1
"198",898455,7961865,0,0.111169800162,3530.58081055,26.6444358826,887,1883,2965.29931641,14874.828125,3780.47607422,570,570,1
"199",898605,7961865,0,0.115091510117,3470.80688477,19.6625423431,850,1883,3019.73510742,14850.7578125,3930.45800781,582,582.494628906,1
