"","coef","se","unmatched","mean_std_diff","max_std_diff","parralel_trend","Pop_density","Dist_sett","Annual_Rain","Dist_track","Dist_river","cal025","cal05","cal1","replacement","maha","glm","rf","ratio1","ratio5","ratio10"
"26",-3.02791509147861,0.477431776974715,5,0.0724694393014272,0.310612362270267,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"27",-3.00392442435696,0.458981314354913,5,0.0911877696234338,0.416282376528502,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"28",-3.17210615241828,0.47832735051393,57,0.0181387063266338,0.0398586074072588,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"29",-3.10718675666156,0.457644300644299,57,0.0283560074823243,0.0693314451532391,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"30",-3.04228739118031,0.458378727542966,57,0.0382134030657427,0.0910723622427333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"31",-3.33558109863861,0.475510949850074,13,0.040855844924741,0.0911409151817364,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"32",-3.13880723275375,0.462779555401093,13,0.057383918781502,0.113307754996514,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"33",-3.102672329944,0.4642207586612,13,0.065924750330482,0.126081659793446,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"34",-3.15008464995127,0.480355801791587,13,0.176621127483669,0.656198033885939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35",-3.01602024871411,0.471920005775413,11,0.242478277263326,1.02187594866809,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
